price,bedrooms,bathrooms,constructedarea,zipcode,yearbuilt,lotareasqft,avgschoolrating,avgschooldist,crimepercentage
575000,3,4,2258.0,77008,2022,2186.712,4.0,1.1333333333333333,1.325702348
534900,3,4,2265.0,77009,2022,1483.0,5.333333333333333,1.0666666666666667,1.501534176
519900,3,4,2265.0,77009,2022,1464.0,5.333333333333333,1.0666666666666667,1.501534176
549900,3,4,2265.0,77009,2022,1804.0,5.333333333333333,1.0666666666666667,1.501534176
534900,3,4,2265.0,77009,2022,1483.0,5.333333333333333,1.0666666666666667,1.501534176
305000,3,3,1743.0,77088,2022,3000.0,3.3333333333333335,0.46666666666666673,1.378364851
337728,3,3,1978.0,77053,2022,4600.0,3.3333333333333335,1.5,0.581463669
237990,3,2,1349.0,77365,2022,7775.7013398033405,7.333333333333333,2.4,0.072682959
399900,3,4,1695.0,77009,2023,1506.0,4.0,0.2333333333333333,1.501534176
849000,3,2,1500.0,77005,1940,5000.0,7.0,1.0666666666666667,0.305094336
409900,3,4,1808.0,77009,2023,1428.0,4.0,0.2333333333333333,1.501534176
385950,5,4,2777.0,77044,2022,7775.7013398033405,4.0,3.1999999999999997,0.057014776
357255,4,3,2620.0,77051,2022,7775.7013398033405,3.6666666666666665,0.6333333333333334,1.205144387
405000,3,4,1825.0,77091,2022,2377.0,2.6666666666666665,1.5333333333333332,1.228646661
399000,3,4,1825.0,77091,2022,1515.0,2.6666666666666665,1.5333333333333332,1.228646661
359000,3,3,1650.0,77091,2022,2042.0,2.6666666666666665,1.5333333333333332,1.228646661
333375,3,3,1869.0,77090,2023,7775.7013398033405,999.0,999.0,0.022631819
390000,4,3,2785.0,77090,2022,7775.7013398033405,999.0,999.0,0.022631819
333970,4,3,1993.0,77034,2022,3850.0,6.0,2.233333333333333,1.451483037
345000,3,4,1644.0,77080,2022,1333.0,2.6666666666666665,0.7333333333333334,1.212108023
699990,3,4,2507.0,77009,2022,7775.7013398033405,6.0,0.6333333333333333,1.501534176
407650,3,3,2657.0,77066,2022,7775.7013398033405,3.3333333333333335,0.4666666666666666,0.054838639
510810,4,4,3018.0,77089,2023,8966.0,6.0,2.1999999999999997,0.858703458
453700,4,3,2757.0,77089,2023,7775.7013398033405,6.0,1.8333333333333333,0.858703458
575000,3,3,2345.0,77004,2023,7775.7013398033405,4.0,1.8333333333333333,2.457728549
349900,3,4,1665.0,77021,2022,2375.0,2.6666666666666665,1.2333333333333334,1.996822841
319900,3,3,1598.0,77088,2022,2750.0,999.0,999.0,1.378364851
439000,3,3,1684.0,77003,2022,7775.7013398033405,3.0,1.7000000000000002,1.130285291
665000,4,4,3195.0,77057,1996,2644.092,4.666666666666667,0.9,2.25621831
