Price,Bedrooms,Bathrooms,constructedArea,zipCode,yearBuilt,lotAreaSQFT,avgSchoolRating,avgSchoolDist
399900,2.0,2,1058.0,77009,1950.0,5000.688,6.0,0.6666666666666666
385000,2.0,1,752.0,77009,1930.0,5000.688,6.333333333333333,0.5666666666666667
325000,2.0,1,1100.0,77023,1940.0,4748.04,3.333333333333333,0.4333333333333333
399000,2.0,1,1026.0,77008,1928.0,3907.332,6.0,0.8000000000000002
468500,3.0,1,1476.0,77008,1948.0,5998.212,5.0,0.8000000000000002
474500,2.0,1,1074.0,77008,1940.0,5998.212,5.0,0.8333333333333334
679900,3.0,3,2520.0,77009,2022.0,3000.0,6.0,0.7666666666666666
674000,3.0,4,1745.0,77009,1920.0,6000.0,6.0,0.6666666666666666
484800,2.0,1,888.0,77009,1920.0,6699.528,6.0,0.6666666666666666
450000,1.0,1,968.0,77009,1920.0,4356.0,6.0,0.7999999999999999
500500,3.0,1,1050.0,77009,1920.0,5000.688,6.0,0.9666666666666668
399000,3.0,2,1332.0,77009,1935.0,5000.0,6.0,1.0333333333333334
774000,3.0,2,2061.0,77006,1930.0,6250.0,6.333333333333333,1.4
319900,3.0,3,1598.0,77088,2022.0,2750.0,999.0,999.0
490000,2.0,2,924.0,77003,1940.0,4369.068,3.6666666666666665,1.6
225000,2.0,1,888.0,77004,1935.0,5000.688,3.0,1.3
305000,4.0,1,1852.0,77004,1950.0,5000.688,3.0,1.2666666666666668
299000,3.0,1,1064.0,77004,1913.0,5000.688,3.0,1.4333333333333331
750000,3.0,2,1871.0,77009,1940.0,5000.688,6.333333333333333,0.6
250000,2.0,1,1565.0,77023,1940.0,4978.908,3.333333333333333,0.4666666666666666
475000,3.0,2,1889.0,77009,1904.0,5000.688,6.333333333333333,1.1666666666666667
279900,3.0,2,1790.0,77028,1960.0,5000.688,3.0,1.9
550000,3.0,3,2303.0,77098,1996.0,2352.24,6.333333333333333,0.7333333333333334
675000,3.0,2,1427.0,77009,1920.0,6865.056,6.333333333333333,0.7333333333333334
499000,2.0,2,1188.0,77006,1975.0,1650.924,999.0,999.0
360000,3.0,2,2741.0,77011,1930.0,5749.92,3.333333333333333,0.9
