zid,Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
27958845,29.690779,-95.42701,766000,3,3,2607,77025,1,0,1,0,1952,1,2,3217,5,0.4,6,1,6,2.6,1,763500,5265,8712
27959158,29.875235,-95.38282,240000,3,1,1100,77076,0,0,1,0,1950,1,1,1008,8,0.4,3,0.5,1,2.2,0,-5000,21,7309.368
27959789,29.732971,-95.45109,724900,3,2,1821,77027,1,0,1,0,1958,1,2,3045,7,1.4,9,2.9,5,1.6,1,309900,2557,9809.712
27961576,29.615973,-95.2688,360000,3,2,1838,77075,1,0,1,0,1954,1,2,1512,9,0.9,2,4.3,3,3.6,0,-35000,199,9801
27961839,29.62121,-95.27174,249900,3,1,1041,77075,1,0,1,0,1965,1,1,1050,9,0.5,2,4,3,3.3,0,0,218,9918.612
27962194,29.627552,-95.2736,249990,4,2,1534,77075,0,0,1,0,1979,1,0,1050,9,0.4,2,3.8,3,3.1,0,-9910,43,8171.856
27962946,29.731236,-95.44357,695000,3,2,1762,77027,1,0,1,0,1955,1,2,2919,7,1.8,9,2.5,5,1.2,1,165100,2430,7200.468
27962972,29.730413,-95.44354,818000,3,2,1896,77027,1,1,1,0,1950,1,2,3436,7,1.8,9,2.5,5,1.3,0,-30000,34,7501.032
27963710,29.741156,-95.47693,624990,3,2,2203,77056,1,0,1,0,1953,1,2,2625,5,1,7,0.7,2,1.6,1,25990,2247,9208.584
27963919,29.74128,-95.4775,850000,4,4,2481,77056,1,0,1,0,1953,1,1,3570,5,1,7,0.8,2,1.6,1,300500,938,9975.24
27964389,29.689985,-95.425415,480000,3,2,1667,77025,1,0,1,0,1952,1,2,2016,5,0.4,6,1.1,6,2.7,1,140500,3613,7631.712
27964397,29.687933,-95.4236,429900,3,2,1643,77025,1,0,1,0,1951,1,2,1806,5,0.5,6,1.3,6,2.8,1,84900,3472,7348.572
27965399,29.692446,-95.43086,687500,3,3,3135,77025,0,0,1,0,1952,1,0,2888,8,0.6,6,0.8,5,3,0,-76576,226,18634.968
27965413,29.814829,-95.48359,240000,3,1,1298,77055,1,0,1,0,1955,1,1,1008,3,4,3,4,3,6,0,-28000,10,8611.812
27965443,29.815096,-95.48269,255000,3,2,1331,77055,0,0,1,0,1949,1,0,1071,3,4,3,4,3,6,1,5000,10920,6602
27965467,29.733917,-95.48328,899000,3,2,1855,77057,1,0,1,0,1960,1,2,3776,7,0.7,7,1.3,2,1.1,1,894500,111,11164.428
27965942,29.60721,-95.44153,329990,4,3,2483,77053,0,0,1,0,1976,2,0,1386,4,0.9,4,1.1,2,1.4,0,0,0,15000
27966364,29.86115,-95.44203,415000,3,3,3390,77091,1,0,1,0,2022,2,2,1743,2,0.8,2,1.8,4,0.6,0,-54000,43,4748.04
27966472,29.715055,-95.35545,325000,3,2,1600,77004,1,0,1,0,1954,1,2,1365,4,0.7,3,1.6,2,0.5,1,190100,4676,7452
27967088,29.665089,-95.32674,210000,3,2,1200,77033,0,0,1,0,1950,1,0,882,4,0.2,3,2.3,3,1.8,1,105000,2682,6599.34
27967158,29.663563,-95.32707,269000,4,3,2475,77033,0,0,1,0,1960,1,8,1130,4,0.3,2,1.6,3,1.7,1,169000,4230,6298.776
27968002,29.67219,-95.333954,295000,3,2,1914,77033,0,0,1,0,1940,1,0,1239,4,0.4,3,1.8,3,2.4,1,265000,1998,7200.468
27968407,29.669142,-95.3353,220000,3,2,1340,77033,1,0,1,0,1958,1,1,924,4,0.4,3,1.8,3,2.2,0,-20000,68,7204.824
27968805,29.666927,-95.33894,230000,3,2,1400,77033,1,0,1,0,1948,1,1,966,4,0.6,3,1.5,3,1.9,0,0,9773,7814.664
27969072,29.807543,-95.4923,799000,4,5,4135,77055,1,0,1,0,2020,2,2,3356,3,4,3,4,3,6,0,0,0,6760.512
27969433,29.794514,-95.52763,547700,3,3,2297,77055,1,0,1,0,1952,1,1,2300,3,0.4,6,1,2,1.6,1,167800,3577,9165.024
27970660,29.836763,-95.39572,222500,2,1,852,77022,1,0,1,0,1956,1,1,935,3,0.2,3,2,3,0.9,0,-7499,302,7440.048
27971457,29.799402,-95.52046,425000,3,2,1638,77080,1,0,1,0,1960,1,2,1785,1,0.3,3,1,2,1.8,1,230000,4969,12780.504
27971459,29.79989,-95.52046,435000,5,2,2055,77080,0,0,1,0,1960,1,0,1827,1,0.3,3,1,2,1.8,1,110000,313,11983.356
27971543,29.801962,-95.49782,480000,3,1,1169,77055,1,0,1,0,1989,1,1,2016,3,4,3,4,3,6,1,311100,4055,8459.352
27971607,29.796247,-95.49903,535000,3,2,1701,77055,0,0,1,0,1952,1,0,2247,3,4,3,4,3,6,0,0,24,9099.684
27971627,29.795122,-95.49752,895000,3,2,1936,77055,0,0,1,0,1953,1,0,3759,8,0.2,6,1.5,6,1.9,0,-30000,70,24106.104
27971635,29.794163,-95.49871,749000,3,2,1837,77055,1,0,1,0,1951,1,2,3146,8,0.3,6,1.4,6,1.8,1,173100,2348,11077.308
27971646,29.794334,-95.49668,795000,3,2,1880,77055,1,0,1,0,1953,1,2,3339,8,0.1,6,1.5,6,1.9,1,196000,551,12100.968
27971796,29.749626,-95.50164,699900,3,2,2360,77063,1,0,1,0,1955,1,2,2940,5,0.7,7,2,2,1.2,1,144900,4223,15063.048
27971992,29.648008,-95.24322,219900,4,2,1270,77034,1,0,1,0,1951,1,1,924,3,0.4,6,0.6,3,2.1,0,-10000,58,6899.904
27972110,29.64669,-95.245834,215000,3,1,1378,77034,0,0,1,0,1951,1,0,903,3,0.3,6,0.7,3,2.3,0,0,0,6899.904
27973072,29.846733,-95.25373,250000,4,2,1706,77078,0,0,1,0,1957,1,0,1050,3,2.7,3,5.3,3,4.1,0,0,45,18661.104
27973594,29.610771,-95.48467,255000,3,2,1721,77085,1,0,1,0,2003,1,2,1071,7,0.9,4,2.1,2,3.2,0,0,0,7875.648
27974283,29.79353,-95.50351,795000,3,4,2953,77055,1,1,1,0,1955,1,2,3339,8,0.6,6,1.1,6,1.5,1,45000,563,13499.244
27974386,29.793316,-95.504,739000,3,2,1596,77055,1,0,1,0,1954,1,2,3104,8,0.6,6,1.1,6,1.5,1,164000,1966,11826.54
27975608,29.828133,-95.48955,479900,4,4,2565,77092,1,0,1,0,2022,2,2,2016,7,0.5,2,1.1,2,1.2,0,-19100,160,6159.384
